"metadata_tool","metadata_link"
"$index_allocation","https://soroush.me/blog/2010/12/a-dotty-salty-directory-a-secret-place-in-ntfs-for-secret-files/"
"_","N/A"
"_","https://twitter.com/malwrhunterteam/status/1737220172220620854/photo/1"
"_","https://detect.fyi/rhysida-ransomware-and-the-detection-opportunities-3599e9a02bb2"
"0d1n","https://github.com/CoolerVoid/0d1n"
"1clickVPN","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"365-Stealer","https://github.com/AlteredSecurity/365-Stealer"
"3snake","https://github.com/blendin/3snake"
"7zip","http://www.joeware.net/freetools/tools/adfind/index.htm"
"AbandonedCOMKeys","https://github.com/matterpreter/OffensiveCSharp/tree/master/AbandonedCOMKeys"
"acheron","https://github.com/f1zm0/acheron"
"ACLight","https://github.com/cyberark/ACLight"
"Aclpwn","https://github.com/fox-it/aclpwn.py"
"acltoolkit","https://github.com/zblurx/acltoolkit"
"action1","https://app.action1.com/"
"ActiveScanPlusPlus","https://github.com/albinowax/ActiveScanPlusPlus"
"AD exploitation cheat sheet","https://stealthbits.com/blog/compromise-powerupsql-sql-attacks/"
"AD exploitation cheat sheet","https://powersploit.readthedocs.io/en/latest/Recon/Get-DomainForeignGroupMember/"
"AD exploitation cheat sheet","https://casvancooten.com/posts/2020/11/windows-active-directory-exploitation-cheat-sheet-and-command-reference"
"AD_Enumeration_Hunt","https://github.com/alperenugurlu/AD_Enumeration_Hunt"
"AD_Miner","https://github.com/Mazars-Tech/AD_Miner"
"ADACLScanner","https://github.com/canix1/ADACLScanner"
"adalanche","https://github.com/lkarlslund/Adalanche"
"Adamantium-Thief","https://github.com/LimerBoy/Adamantium-Thief"
"Adblock Office VPN Proxy Server","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"adconnectdump","https://github.com/fox-it/adconnectdump"
"adcshunter","https://github.com/danti1988/adcshunter"
"ADCSKiller","https://github.com/grimlockx/ADCSKiller"
"ADCSPwn","https://github.com/bats3c/ADCSPwn"
"adcsync","https://github.com/JPG0mez/ADCSync"
"adeleg","https://github.com/mtth-bfft/adeleg"
"adexplorer","https://learn.microsoft.com/en-us/sysinternals/downloads/adexplorer"
"ADExplorerSnapshot.py","https://github.com/c3c/ADExplorerSnapshot.py"
"adfind","https://www.joeware.net/freetools/tools/adfind/usage.htm"
"adfind","N/A"
"adfind","https://thedfirreport.com/2022/08/08/bumblebee-roasts-its-way-to-domain-admin/"
"adfind","http://www.joeware.net/freetools/tools/adfind/index.htm"
"adfind","https://github.com/3CORESec/MAL-CL/tree/master/Descriptors/Other/AdFind"
"ADFSpoof","https://github.com/mandiant/ADFSpoof"
"adfspray","https://github.com/xFreed0m/ADFSpray"
"adget","https://thedfirreport.com/2023/05/22/icedid-macro-ends-in-nokoyawa-ransomware/"
"AdGuard VPN","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"adhunt","https://github.com/karendm/ADHunt"
"adidnsdump","https://github.com/dirkjanm/adidnsdump"
"ad-ldap-enum","https://github.com/CroweCybersecurity/ad-ldap-enum"
"Admin2Sys","https://github.com/S12cybersecurity/Admin2Sys"
"adrecon","https://github.com/adrecon/ADRecon"
"adsearch","https://github.com/tomcarver16/ADSearch"
"advanced port scanner","https://www.advanced-port-scanner.com/"
