"metadata_tool","metadata_link"
"$index_allocation","https://soroush.me/blog/2010/12/a-dotty-salty-directory-a-secret-place-in-ntfs-for-secret-files/"
"_","https://twitter.com/malwrhunterteam/status/1737220172220620854/photo/1"
"_","N/A"
"_","https://detect.fyi/rhysida-ransomware-and-the-detection-opportunities-3599e9a02bb2"
"_","http://requestbin.net"
"_","https://cloud.google.com/blog/topics/threat-intelligence/melting-unc2198-icedid-to-ransomware-operations"
"0bin.net","https://0bin.net"
"0d1n","https://github.com/CoolerVoid/0d1n"
"1clickVPN","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"1secmail.com","https://www.1secmail.com/"
"1ty.me","https://1ty.me"
"365-Stealer","https://github.com/AlteredSecurity/365-Stealer"
"3proxy","https://github.com/3proxy/3proxy"
"3snake","https://github.com/blendin/3snake"
"4everproxy","https://www.4everproxy.com/"
"4shared.com","4shared.com"
"7zip","http://www.joeware.net/freetools/tools/adfind/index.htm"
"AADInternals","https://github.com/Gerenios/AADInternals"
"AbandonedCOMKeys","https://github.com/matterpreter/OffensiveCSharp/tree/master/AbandonedCOMKeys"
"ABPTTS","https://github.com/nccgroup/ABPTTS"
"Accomplice","https://github.com/nccgroup/Accomplice"
"acheron","https://github.com/f1zm0/acheron"
"ACLight","https://github.com/cyberark/ACLight"
"Aclpwn","https://github.com/fox-it/aclpwn.py"
"acltoolkit","https://github.com/zblurx/acltoolkit"
"action1","https://app.action1.com/"
"ActiveScanPlusPlus","https://github.com/albinowax/ActiveScanPlusPlus"
"Acunetix Web Vulnerability Scanner","https://www.acunetix.com/vulnerability-scanner/"
"AD exploitation cheat sheet","https://stealthbits.com/blog/compromise-powerupsql-sql-attacks/"
"AD exploitation cheat sheet","https://powersploit.readthedocs.io/en/latest/Recon/Get-DomainForeignGroupMember/"
"AD exploitation cheat sheet","https://casvancooten.com/posts/2020/11/windows-active-directory-exploitation-cheat-sheet-and-command-reference"
"AD_Enumeration_Hunt","https://github.com/alperenugurlu/AD_Enumeration_Hunt"
"AD_Miner","https://github.com/Mazars-Tech/AD_Miner"
"ADACLScanner","https://github.com/canix1/ADACLScanner"
"adalanche","https://github.com/lkarlslund/Adalanche"
"Adamantium-Thief","https://github.com/LimerBoy/Adamantium-Thief"
"ADAPE-Script","https://github.com/cjoan75/ADAPE-Script"
"adaudit","https://github.com/phillips321/adaudit"
"Adblock Office VPN Proxy Server","https://raw.githubusercontent.com/SigmaHQ/sigma/43277f26fc1c81fc98fc79147b711189e901b757/rules/windows/registry/registry_set/registry_set_chrome_extension.yml"
"Adcheck","https://github.com/CobblePot59/Adcheck"
"ADCollector","https://github.com/dev-2null/ADCollector"
"AD-common-queries","https://github.com/swarleysez/AD-common-queries"
"adconnectdump","https://github.com/fox-it/adconnectdump"
"ADCSCoercePotato","https://github.com/decoder-it/ADCSCoercePotato"
"adcshunter","https://github.com/danti1988/adcshunter"
