"metadata_tool","metadata_link"
"_","N/A"
"0d1n","https://github.com/CoolerVoid/0d1n"
"365-Stealer","https://github.com/AlteredSecurity/365-Stealer"
"3snake","https://github.com/blendin/3snake"
"7zip","http://www.joeware.net/freetools/tools/adfind/index.htm"
"AbandonedCOMKeys","https://github.com/matterpreter/OffensiveCSharp/tree/master/AbandonedCOMKeys"
"acheron","https://github.com/f1zm0/acheron"
"ACLight","https://github.com/cyberark/ACLight"
"Aclpwn","https://github.com/fox-it/aclpwn.py"
"acltoolkit","https://github.com/zblurx/acltoolkit"
"ActiveScanPlusPlus","https://github.com/albinowax/ActiveScanPlusPlus"
"AD exploitation cheat sheet","https://stealthbits.com/blog/compromise-powerupsql-sql-attacks/"
"AD exploitation cheat sheet","https://powersploit.readthedocs.io/en/latest/Recon/Get-DomainForeignGroupMember/"
"AD exploitation cheat sheet","https://casvancooten.com/posts/2020/11/windows-active-directory-exploitation-cheat-sheet-and-command-reference"
"ADACLScanner","https://github.com/canix1/ADACLScanner"
"adalanche","https://github.com/lkarlslund/Adalanche"
"adconnectdump","https://github.com/fox-it/adconnectdump"
"ADCSKiller","https://github.com/grimlockx/ADCSKiller"
"ADCSPwn","https://github.com/bats3c/ADCSPwn"
"adexplorer","https://learn.microsoft.com/en-us/sysinternals/downloads/adexplorer"
"ADExplorerSnapshot.py","https://github.com/c3c/ADExplorerSnapshot.py"
"adfind","https://www.joeware.net/freetools/tools/adfind/usage.htm"
"adfind","https://thedfirreport.com/2022/08/08/bumblebee-roasts-its-way-to-domain-admin/"
"adfind","http://www.joeware.net/freetools/tools/adfind/index.htm"
"ADFSpoof","https://github.com/mandiant/ADFSpoof"
"adfspray","https://github.com/xFreed0m/ADFSpray"
"adhunt","https://github.com/karendm/ADHunt"
"adidnsdump","https://github.com/dirkjanm/adidnsdump"
"ad-ldap-enum","https://github.com/CroweCybersecurity/ad-ldap-enum"
"Admin2Sys","https://github.com/S12cybersecurity/Admin2Sys"
"adrecon","https://github.com/adrecon/ADRecon"
"adsearch","https://github.com/tomcarver16/ADSearch"
"advanced-ip-scanner","https://www.huntandhackett.com/blog/advanced-ip-scanner-the-preferred-scanner-in-the-apt-toolbox"
"Advanced-SQL-Injection-Cheatsheet","https://github.com/kleiton0x00/Advanced-SQL-Injection-Cheatsheet"
"afrog","https://github.com/zan8in/afrog"
"AggressorScripts-1","https://github.com/Cn33liz/AggressorScripts-1/tree/master/Persistence"
"AggressorScripts-1","https://github.com/Cn33liz/AggressorScripts-1"
"AhMyth-Android-RAT","https://github.com/AhMyth/AhMyth-Android-RAT"
"Airbash","https://github.com/tehw0lf/airbash"
"aircrack-ng","https://github.com/aircrack-ng/aircrack-ng"
"Airgeddon","https://github.com/v1s1t0r1sh3r3/airgeddon"
"airmon-ng","https://www.aircrack-ng.org/doku.php?id=airmon-ng"
"airpwn-ng","https://github.com/ICSec/airpwn-ng"
"AlanFramework","https://github.com/enkomio/AlanFramework"
"Alcatraz","https://github.com/weak1337/Alcatraz"
"al-khaser","https://github.com/LordNoteworthy/al-khaser"
"Amass","https://github.com/OWASP/Amass"
"amass","https://github.com/caffix/amass"
"amsi.fail","https://amsi.fail/"
"Amsi_Bypass","https://github.com/senzee1984/Amsi_Bypass_In_2023"
"AndrewSpecial","https://github.com/hoangprod/AndrewSpecial"
"Anevicon","https://github.com/rozgo/anevicon"
"anonfiles.com","https://twitter.com/mthcht/status/1660953897622544384"
"Antivirus Signature","N/A"
"Antivirus Signature for ransomware","https://www.trendmicro.com/content/dam/trendmicro/global/en/research/23/e/blackcat-ransomware-deploys-new-signed-kernel-driver/indicators-blackcat-ransomware-deploys-new-signed-kernel-driver.txt"
"Antivirus Signature for rootkit","https://www.trendmicro.com/content/dam/trendmicro/global/en/research/23/e/blackcat-ransomware-deploys-new-signed-kernel-driver/indicators-blackcat-ransomware-deploys-new-signed-kernel-driver.txt"
"anydesk","https://www.virustotal.com/gui/url/f83616f0f9cd2337ed40e22b0a675a99d58edf004b31645f56f28f020f5e4f46/detection"
"anymailfinder","https://anymailfinder.com"
"AoratosWin","https://github.com/PinoyWH1Z/AoratosWin"
"APCLdr","https://github.com/NUL0x4C/APCLdr"
"APT","N/A"
"APTSimulator","https://github.com/NextronSystems/APTSimulator"
"aquatone","https://github.com/michenriksen/aquatone"
"archerysec","https://github.com/archerysec/archerysec"
"archstrike","https://archstrike.org/"
"Ares","https://github.com/sweetsoftware/Ares"
"armitage","https://github.com/r00t0v3rr1d3/armitage"
"arpspoofing","https://github.com/luijait/arpspoofing"
"ASREPRoast","https://github.com/HarmJ0y/ASREPRoast"
"assoc","N/A"
"AtlasC2","https://github.com/Gr1mmie/AtlasC2"
"AtlasReaper","https://github.com/werdhaihai/AtlasReaper"
"AtomLdr","https://github.com/NUL0x4C/AtomLdr"
"ATPMiniDump","https://github.com/b4rtik/ATPMiniDump"
"AttackSurfaceMapper","https://github.com/superhedgy/AttackSurfaceMapper"
"attifyos","https://github.com/adi0x90/attifyos"
"attrib","N/A"
"attrib","https://github.com/RoseSecurity/Red-Teaming-TTPs/blob/main/Anti-Forensics.md"
"autobloody","https://github.com/CravateRouge/autobloody"
"AutoC2","https://github.com/assume-breach/Home-Grown-Red-Team/tree/main/AutoC2"
"autonse","https://github.com/m4ll0k/AutoNSE"
"autopwn","https://github.com/nccgroup/autopwn"
"AutoRDPwn","https://github.com/JoelGMSec/AutoRDPwn"
"autotimeliner","https://github.com/andreafortuna/autotimeliner"
"avet","https://github.com/govolution/avet"
"Awesome-Hacking","https://github.com/Hack-with-Github/Awesome-Hacking"
"Awesome-Hacking-Resources","https://github.com/vitalysim/Awesome-Hacking-Resources"
"awesome-osint","https://github.com/jivoi/awesome-osint"
"awesome-pentest","https://github.com/enaqx/awesome-pentest"
"awesome-pentest-cheat-sheets","https://github.com/coreb1t/awesome-pentest-cheat-sheets"
"awesome-scapy","https://github.com/secdev/awesome-scapy"
"awesome-static-analysis","https://github.com/codefactor-io/awesome-static-analysis"
"awesome-web-security","https://github.com/qazbnm456/awesome-web-security"
"awesome-windows-domain-hardening","https://github.com/PaulSec/awesome-windows-domain-hardening"
"AWS-Loot","https://github.com/sebastian-mora/AWS-Loot"
"Azure-AccessPermissions","https://github.com/csandker/Azure-AccessPermissions"
"AzureAD_Autologon_Brute","https://github.com/nyxgeek/AzureAD_Autologon_Brute"
"AzureADLateralMovement","https://github.com/talmaor/AzureADLateralMovement"
"AzureC2Relay","https://github.com/Flangvik/AzureC2Relay"
"b374k","https://github.com/b374k/b374k"
"backdoor keyword","N/A"
"Backstab","https://github.com/Yaxser/Backstab"
"BackupOperatorToDA","https://github.com/mpgn/BackupOperatorToDA"
"badazure","https://github.com/mvelazc0/BadZure/"
"Bad-PDF","https://github.com/deepzec/Bad-Pdf"
"badtouch","https://github.com/kpcyrd/badtouch"
"BaRMIe","https://github.com/NickstaDB/BaRMIe"
"base64","https://github.com/matterpreter/OffensiveCSharp/tree/master/MockDirUACBypass"
"bash","https://github.com/swisskyrepo/PayloadsAllTheThings/blob/master/Methodology%20and%20Resources/Reverse%20Shell%20Cheatsheet.md"
"bash","N/A"
"bash","https://github.com/RoseSecurity/Red-Teaming-TTPs/blob/main/Linux.md"
"bash","https://github.com/elastic/detection-rules/blob/main/rules/linux/defense_evasion_deletion_of_bash_command_line_history.toml"
"bash","https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1146/T1146.yaml"
"bash keylogger","N/A"
"bash port scan","N/A"
"Bashfuscator","https://github.com/Bashfuscator/Bashfuscator"
"bashupload.com","https://twitter.com/mthcht/status/1660953897622544384"
"bcdedit","N/A"
"beef","https://github.com/beefproject/beef"
"BeeLogger","https://github.com/4w4k3/BeeLogger"
"BeRoot","https://github.com/AlessandroZ/BeRoot"
"BetterBackdoor","https://github.com/thatcherclough/BetterBackdoor"
"bettercap","https://github.com/bettercap/bettercap"
"betterdefaultpasslist","https://github.com/govolution/betterdefaultpasslist"
"binwalk","https://github.com/ReFirmLabs/binwalk"
"bitsadmin","N/A"
"bittorent","https[://]www[.]bittorrent.com/fr/"
"Biu-framework","https://awesomeopensource.com/project/0xbug/Biu-framework"
"blackcat ransomware","https://www.sentinelone.com/labs/blackcat-ransomware-highly-configurable-rust-driven-raas-on-the-prowl-for-victims/"
"Blackout","https://github.com/ZeroMemoryEx/Blackout"
"BlockEtw","https://github.com/Soledge/BlockEtw"
"BlockWindows","https://github.com/WindowsLies/BlockWindows"
"bloodhound","https://github.com/fox-it/BloodHound.py"
"bloodhound","https://github.com/BloodHoundAD/BloodHound/tree/master/Collectors"
"BloodHound","https://github.com/BloodHoundAD/BloodHound"
"BloodHound.py","https://github.com/fox-it/BloodHound.py"
"bloodhound-quickwin","https://github.com/kaluche/bloodhound-quickwin"
"bloodyAD","https://github.com/CravateRouge/bloodyAD"
"BOF.NET","https://github.com/CCob/BOF.NET"
"bof-collection","https://github.com/cube0x0/MiniDump"
"bof-collection","https://github.com/crypt0p3g/bof-collection"
"BOFMask","https://github.com/passthehashbrowns/BOFMask"
"BOINC","https://cyberint.com/wp-content/uploads/2022/02/Mars-Stealer-7.png.webp"
"boko","https://github.com/bashexplode/boko"
"bootkit-rs","https://github.com/memN0ps/bootkit-rs"
"bropper","https://github.com/Hakumarachi/Bropper"
"Browser-C2","https://github.com/0x09AL/Browser-C2"
"bruteratel","https://bruteratel.com/"
"BruteSploit","https://github.com/screetsec/Vegile"
"BruteSploit","https://github.com/screetsec/Microsploit"
"BruteSploit","https://github.com/screetsec/BruteSploit"
"brutespray","https://github.com/x90skysn3k/brutespray"
"BruteX","https://github.com/1N3/BruteX"
"BucketLoot","https://github.com/redhuntlabs/BucketLoot"
"bulletpassview","https://www.nirsoft.net/utils/bullets_password_view.html"
"burpsuite","https://github.com/signorrayan/RedTeam_toolkit"
"burpsuite","https://github.com/nccgroup/BurpSuiteHTTPSmuggler"
"burpsuite","https://portswigger.net/burp"
"burpsuite","https://portswigger.net/"
"burpsuite","https://github.com/Mr-xn/BurpSuite-collections"
"burpsuite","https://github.com/infodel/burp.extension-payloadparser"
"burpsuite","https://github.com/attackercan/burp-xss-sql-plugin"
"burpsuite","https://github.com/laconicwolf/burp-extensions"
"burpsuite","https://github.com/JGillam/burp-co2"
"byob","https://github.com/malwaredllc/byob"
"BypassCredGuard","https://github.com/wh0amitz/BypassCredGuard"
"bypasswaf","https://github.com/codewatchorg/bypasswaf"
"C2 related tools","https://github.com/mgeeky/ShellcodeFluctuation"
"C2 related tools","https://github.com/mgeeky/ThreadStackSpoofer"
"C2 related tools","https://github.com/Rvn0xsy/Cooolis-ms"
"C2 related tools","https://github.com/med0x2e/SigFlip"
"C2 related tools","https://github.com/aeverj/NimShellCodeLoader"
"C2 related tools","https://github.com/bitsadmin/nopowershell"
"C2 related tools","https://github.com/Ed1s0nZ/cool"
"C2_Server","https://github.com/reveng007/C2_Server"
"C2concealer","https://github.com/RedSiege/C2concealer"
"C2-Tool-Collection","https://github.com/outflanknl/C2-Tool-Collection"
"CACTUSTORCH","https://github.com/mdsecactivebreach/CACTUSTORCH"
"Cain&Abel","https://github.com/undergroundwires/CEH-in-bullet-points/blob/master/chapters/08-sniffing/sniffing-tools.md"
"CandyPotato","https://github.com/klezVirus/CandyPotato"
"CarbonCopy","https://github.com/paranoidninja/CarbonCopy"
"cat","N/A"
"cat","https://github.com/RoseSecurity/Red-Teaming-TTPs/blob/main/Linux.md"
"catphish","https://github.com/ring0lab/catphish"
"cdn-proxy","https://github.com/RyanJarv/cdn-proxy"
"celerystalk","https://github.com/sethsec/celerystalk"
"cerbrutus","https://github.com/Cerbrutus-BruteForcer/cerbrutus"
"Certipy","https://github.com/ly4k/Certipy"
"CertStealer","https://github.com/TheWover/CertStealer"
"certsync","https://github.com/zblurx/certsync"
"changeme","https://github.com/ztgrace/changeme"
